0,1,2,3,4,5,6,7,8,9,10
,year,hour,season,holiday,workingday,weather,temp,atemp,humidity,windspeed
1.0,2012,21,3,0,0,1,29.52,34.85,79,6.0032
2.0,2012,3,2,0,0,1,23.78,27.275,83,0
6.0,2011,10,1,0,1,3,16.4,20.455,0,11.0014
14.0,2012,19,1,0,1,1,13.94,15.15,46,19.9995
17.0,2011,23,3,0,1,2,26.24,30.305,73,11.0014
20.0,2012,6,2,0,0,1,21.32,25,72,7.0015
28.0,2012,9,4,0,0,2,10.66,12.12,93,16.9979
29.0,2012,9,1,0,1,2,9.84,12.88,70,11.0014
30.0,2011,17,4,0,1,1,13.12,14.395,42,26.0027
32.0,2012,12,1,0,1,2,10.66,13.635,56,7.0015
34.0,2011,4,2,0,1,1,22.14,25.76,94,8.9981
41.0,2012,6,1,0,1,1,4.1,5.305,54,15.0013
45.0,2011,17,1,0,1,2,9.84,14.395,75,0
46.0,2011,20,2,0,1,1,25.42,28.79,83,22.0028
47.0,2011,13,3,0,1,1,34.44,39.395,49,11.0014
49.0,2011,3,3,0,1,2,20.5,24.24,77,8.9981
52.0,2011,19,1,0,0,1,14.76,16.665,50,23.9994
59.0,2012,8,4,0,0,3,16.4,20.455,87,11.0014
61.0,2012,0,1,0,0,1,13.94,16.665,42,11.0014
62.0,2012,11,1,0,1,1,6.56,8.335,55,11.0014
66.0,2011,18,4,0,1,2,18.86,22.725,100,19.0012
71.0,2011,2,3,0,1,1,27.88,31.82,69,0
77.0,2012,0,3,0,1,1,31.98,37.12,62,8.9981
78.0,2011,6,2,0,1,1,27.06,31.06,39,8.9981
84.0,2012,21,4,0,1,1,18.86,22.725,82,12.998
87.0,2012,5,1,0,1,1,13.12,16.665,49,6.0032
89.0,2012,7,4,0,1,1,13.94,15.15,66,27.9993
91.0,2012,11,3,0,0,1,31.16,35.605,62,30.0026
97.0,2012,9,4,0,1,2,26.24,28.79,89,12.998
100.0,2012,14,2,0,1,1,23.78,27.275,43,0
102.0,2011,4,1,0,1,2,6.56,9.85,64,6.0032
103.0,2011,9,4,0,1,2,13.94,16.665,100,8.9981
105.0,2012,21,1,0,1,1,8.2,8.335,40,27.9993
109.0,2011,5,1,0,1,3,14.76,17.425,0,12.998
111.0,2011,4,4,0,1,1,18.04,21.97,88,0
112.0,2011,3,2,0,1,1,23.78,27.275,88,0
121.0,2011,22,1,0,1,3,13.12,15.91,93,11.0014
126.0,2011,19,1,0,1,1,8.2,9.85,40,16.9979
136.0,2012,15,4,0,1,2,13.94,17.425,46,7.0015
137.0,2011,10,2,0,0,3,17.22,21.21,94,26.0027
138.0,2012,1,2,0,1,2,19.68,23.485,88,8.9981
141.0,2012,15,4,0,1,1,19.68,23.485,33,19.0012
146.0,2011,8,3,0,0,2,18.86,22.725,77,16.9979
151.0,2011,0,2,0,1,1,24.6,31.06,56,7.0015
157.0,2011,20,1,0,0,3,11.48,12.12,100,27.9993
165.0,2011,22,1,0,1,1,5.74,6.06,46,22.0028
167.0,2011,4,2,0,1,1,15.58,19.695,71,19.9995
168.0,2011,3,1,0,0,2,6.56,11.365,59,0
169.0,2011,18,4,0,1,3,22.96,26.515,100,11.0014
174.0,2011,17,4,0,1,1,14.76,17.425,46,8.9981
191.0,2012,7,1,0,1,3,12.3,14.395,81,15.0013
192.0,2011,19,3,0,1,1,27.06,30.305,83,6.0032
194.0,2012,16,1,0,1,1,17.22,21.21,35,19.9995
196.0,2012,0,3,0,1,1,22.96,26.515,73,6.0032
197.0,2011,21,3,0,1,1,31.98,34.85,46,16.9979
217.0,2011,13,1,0,0,2,18.86,22.725,67,19.0012
223.0,2012,11,4,0,1,1,13.12,15.15,49,16.9979
227.0,2011,3,2,0,0,2,20.5,24.24,88,8.9981
228.0,2012,0,3,0,1,2,29.52,34.85,79,0
231.0,2012,7,1,0,1,2,16.4,20.455,87,12.998
232.0,2012,12,4,0,0,1,15.58,19.695,46,15.0013
244.0,2012,18,3,0,0,1,27.06,31.06,36,16.9979
245.0,2011,7,3,0,1,1,31.16,34.85,55,16.9979
248.0,2011,17,4,0,1,1,23.78,27.275,46,27.9993
250.0,2012,8,3,0,1,1,29.52,34.85,74,7.0015
251.0,2011,19,1,0,1,1,15.58,19.695,43,32.9975
252.0,2012,12,1,0,1,1,8.2,9.85,51,12.998
254.0,2012,19,3,0,1,1,22.96,26.515,43,15.0013
257.0,2011,16,2,0,1,1,27.06,31.06,31,7.0015
259.0,2012,16,2,0,0,1,26.24,31.06,38,16.9979
273.0,2012,21,1,0,1,1,10.66,13.635,60,8.9981
274.0,2011,23,3,0,1,1,31.16,34.09,48,19.0012
276.0,2011,0,2,0,0,1,17.22,21.21,67,6.0032
279.0,2012,12,1,0,1,1,11.48,12.88,28,22.0028
285.0,2011,12,3,0,0,1,36.9,42.425,42,19.9995
290.0,2011,17,3,0,0,1,34.44,36.365,32,0
292.0,2012,13,1,0,0,2,11.48,13.635,61,11.0014
298.0,2012,16,4,0,0,1,20.5,24.24,31,12.998
299.0,2011,13,2,0,1,2,26.24,30.305,69,27.9993
301.0,2012,23,1,0,1,1,11.48,13.635,61,15.0013
302.0,2012,16,3,0,1,1,34.44,37.12,36,19.0012
306.0,2011,4,2,0,1,1,22.14,25.76,60,16.9979
310.0,2012,2,2,0,1,1,18.86,22.725,51,0
314.0,2011,5,4,0,0,1,9.84,12.88,70,6.0032
318.0,2011,7,3,0,1,1,24.6,28.03,83,7.0015
319.0,2012,12,4,0,1,1,29.52,32.575,42,11.0014
321.0,2011,21,4,0,1,1,20.5,24.24,68,0
322.0,2012,23,3,0,1,3,27.06,29.545,89,15.0013
323.0,2012,20,1,1,0,1,9.84,11.365,41,15.0013
326.0,2012,4,1,0,1,1,4.92,7.575,54,7.0015
327.0,2012,16,3,0,1,1,27.06,31.06,34,22.0028
328.0,2011,12,2,0,1,2,27.88,31.82,61,32.9975
332.0,2012,8,2,0,1,2,20.5,24.24,82,12.998
335.0,2012,2,3,0,1,1,28.7,33.335,74,11.0014
343.0,2011,9,3,1,0,3,27.88,31.82,74,11.0014
344.0,2011,1,3,0,1,2,24.6,27.275,88,8.9981
345.0,2011,10,4,1,0,1,13.12,13.635,42,36.9974
348.0,2012,11,3,0,0,2,29.52,34.09,70,7.0015
349.0,2012,12,4,0,0,1,16.4,20.455,40,11.0014
356.0,2011,11,1,0,0,1,13.12,14.395,39,30.0026
372.0,2012,10,4,0,1,1,15.58,19.695,46,19.9995
379.0,2012,11,1,0,0,2,9.84,12.88,81,7.0015
386.0,2012,15,3,0,1,1,29.52,32.575,37,8.9981
388.0,2012,0,2,0,1,2,21.32,25,52,16.9979
391.0,2012,4,4,0,1,1,13.12,14.395,53,23.9994
398.0,2012,6,4,0,1,2,15.58,19.695,94,11.0014
408.0,2012,5,4,0,1,2,11.48,12.88,52,22.0028
412.0,2011,16,2,0,1,2,26.24,31.06,57,16.9979
414.0,2011,7,2,0,1,1,29.52,34.09,66,7.0015
419.0,2012,13,3,0,1,1,33.62,36.365,38,12.998
426.0,2011,15,2,0,0,2,30.34,32.575,27,27.9993
429.0,2011,14,3,0,1,2,28.7,33.335,79,23.9994
431.0,2011,16,3,0,1,1,36.9,38.635,25,19.0012
432.0,2011,18,1,0,1,1,13.12,15.15,31,15.0013
440.0,2012,15,2,0,0,1,26.24,31.06,38,16.9979
441.0,2012,23,3,0,1,1,27.06,31.06,74,0
443.0,2011,4,4,0,0,1,18.04,21.97,58,27.9993
446.0,2012,13,2,0,1,1,29.52,34.09,70,19.9995
450.0,2011,5,2,0,1,1,22.14,25.76,56,22.0028
451.0,2011,18,2,0,1,1,30.34,32.575,22,26.0027
452.0,2012,9,1,0,1,1,11.48,12.88,52,22.0028
454.0,2011,14,2,0,1,1,37.72,43.94,40,12.998
456.0,2011,5,4,0,1,1,12.3,16.665,81,0
459.0,2011,18,4,0,1,2,21.32,25,59,19.9995
464.0,2011,11,3,0,0,1,21.32,25,68,15.0013
465.0,2012,3,1,0,1,1,18.86,22.725,63,26.0027
478.0,2012,0,1,0,1,1,9.02,10.605,37,19.9995
481.0,2012,14,3,0,1,1,33.62,36.365,38,11.0014
484.0,2012,18,3,0,1,1,31.16,35.605,62,19.9995
485.0,2012,0,2,0,1,1,13.94,15.15,36,27.9993
487.0,2012,17,4,0,1,2,15.58,19.695,66,0
491.0,2011,7,2,0,1,1,10.66,13.635,65,7.0015
498.0,2012,12,2,0,1,3,27.06,30.305,83,16.9979
499.0,2011,3,3,0,0,1,25.42,29.545,73,11.0014
